"","datafilePath","md5sum","fileSize","biologicalCategory","organisation","patientId","projectName","protocol","technicalPlatform"
"39","/odin/kdi/dataset/2217399/archive/M2_C1_n3_S21_R1_001.fastq.gz","73d5a1a2f7bb361fd1288e340df256e5",2695645060,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"40","/odin/kdi/dataset/2217399/archive/M2_C1_n3_S21_R2_001.fastq.gz","91da6c5c233043e2e6b240bbc42ac88e",2796684652,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"41","/odin/kdi/dataset/2217400/archive/M2_C2_n1_S3_I1_001.fastq.gz","271554e6e292dfa4e3bdc265078edd83",646021232,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"42","/odin/kdi/dataset/2217400/archive/M2_C2_n1_S3_I2_001.fastq.gz","75773b99fae19713d57f80507bdee302",622253705,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"43","/odin/kdi/dataset/2217400/archive/M2_C2_n1_S3_R1_001.fastq.gz","c13f0cbdf80d4deea1350b062e55e9f9",4569005675,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"44","/odin/kdi/dataset/2217400/archive/M2_C2_n1_S3_R2_001.fastq.gz","c95157149eb7c790207172318c272e9f",4640047799,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"45","/odin/kdi/dataset/2217401/archive/M2_Gilt_n3_S22_I1_001.fastq.gz","5eac030ae609c2598a1d1c73a89a4450",281842894,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"46","/odin/kdi/dataset/2217401/archive/M2_Gilt_n3_S22_I2_001.fastq.gz","d22ac8329c5006375bd4e2dcef5f36c9",302270141,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"47","/odin/kdi/dataset/2217401/archive/M2_Gilt_n3_S22_R1_001.fastq.gz","7b4f7c46195720e950da3ee247029983",2139195096,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"48","/odin/kdi/dataset/2217401/archive/M2_Gilt_n3_S22_R2_001.fastq.gz","09106fc25b06bb1aac114ba0e381e309",2219208303,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
